web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1732154411-1","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","61%
                                                        Rp 37.900","Rp 14.900"
"1732154411-2","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Diet Jam Strawbery 375g","40%
                                                        Rp 94.900","Rp 56.900"
"1732154411-3","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","35%
                                                        Rp 25.500","Rp 16.500"
"1732154411-4","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","33%
                                                        Rp 55.700","Rp 37.200"
"1732154411-5","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Quick Cooking Biru 800G","33%
                                                        Rp 55.700","Rp 37.200"
"1732154411-6","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","31%
                                                        Rp 9.100","Rp 6.300"
"1732154411-7","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Caffe Latte Sugar Free Drink 10x14g","30%
                                                        Rp 34.500","Rp 24.000"
"1732154411-8","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Gula Buah 50x2.5G","30%
                                                        Rp 53.500","Rp 37.300"
"1732154411-9","https://www.klikindomaret.com/category/sarapan","Tropicana Slim No Calorie Sweetener Diabetic 100X2g","30%
                                                        Rp 101.500","Rp 70.900"
"1732154411-10","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Low Calori 100X2.5g","30%
                                                        Rp 98.700","Rp 69.000"
"1732154411-11","https://www.klikindomaret.com/category/sarapan","L-Men Crunchy Chocolate Bar 25G","27%
                                                        Rp 11.200","Rp 8.200"
"1732154411-12","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","25%
                                                        Rp 15.900","Rp 11.900"
"1732154411-13","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","25%
                                                        Rp 22.000","Rp 16.500"
"1732154411-14","https://www.klikindomaret.com/category/sarapan","L-Men Strongberry Bar 20G","25%
                                                        Rp 12.200","Rp 9.200"
"1732154411-15","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Cocoa Chia 22G","22%
                                                        Rp 8.900","Rp 6.900"
"1732154411-16","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Yoghurt Berry 22G","22%
                                                        Rp 8.900","Rp 6.900"
"1732154411-17","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 180G","21%
                                                        Rp 31.400","Rp 24.900"
"1732154411-18","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Stevia 50X2.2G","19%
                                                        Rp 78.500","Rp 63.500"
"1732154411-19","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","19%
                                                        Rp 9.700","Rp 7.900"
"1732154411-20","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","17%
                                                        Rp 11.900","Rp 9.900"
"1732154411-21","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Trix 60G","15%
                                                        Rp 11.000","Rp 9.400"
"1732154411-22","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X1.8g","14%
                                                        Rp 53.900","Rp 46.400"
"1732154411-23","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","13%
                                                        Rp 14.900","Rp 12.900"
"1732154411-24","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","12%
                                                        Rp 16.000","Rp 14.000"
"1732154411-25","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","12%
                                                        Rp 16.900","Rp 14.900"
"1732154411-26","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","11%
                                                        Rp 9.600","Rp 8.500"
"1732154411-27","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","11%
                                                        Rp 9.600","Rp 8.500"
"1732154411-28","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","11%
                                                        Rp 9.600","Rp 8.500"
"1732154411-29","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","11%
                                                        Rp 9.600","Rp 8.500"
"1732154411-30","https://www.klikindomaret.com/category/sarapan","Soyjoy Mochachoco Cashew 30G","11%
                                                        Rp 9.600","Rp 8.500"
"1732154411-31","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","10%
                                                        Rp 52.500","Rp 47.500"
"1732154411-32","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meises 80G","9%
                                                        Rp 6.900","Rp 6.300"
"1732154411-33","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","","Rp 7.000"
"1732154411-34","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","","Rp 7.000"
"1732154411-35","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1732154411-36","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1732154411-37","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","","Rp 33.500"
"1732154411-38","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","","Rp 46.700"
"1732154411-39","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","","Rp 46.700"
"1732154411-40","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","","Rp 23.000"
"1732154411-41","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.800"
"1732154411-42","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.800"
"1732154411-43","https://www.klikindomaret.com/category/sarapan","Champion Cereal Instant 4 In 1 10X30G","","Rp 25.400"
"1732154411-44","https://www.klikindomaret.com/category/sarapan","Diabetamil Sweetener 50G","","Rp 30.600"
"1732154411-45","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","","Rp 42.300"
"1732154411-46","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","","Rp 11.500"
"1732154411-47","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","","Rp 23.000"
"1732154411-48","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X35g","","Rp 23.000"
"1732154411-49","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","","Rp 11.500"
"1732154411-50","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X34g","","Rp 23.000"
"1732154411-51","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","","Rp 5.600"
"1732154411-52","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","","Rp 5.600"
"1732154411-53","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","","Rp 5.600"
"1732154411-54","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","","Rp 5.600"
"1732154411-55","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","","Rp 33.500"
"1732154411-56","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meisis Mix 200G","","Rp 13.900"
"1732154411-57","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 200g","","Rp 13.900"
"1732154411-58","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","","Rp 14.900"
"1732154411-59","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","","Rp 14.900"
"1732154411-60","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 19.200"
"1732154411-61","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Coco Fills 60G","","Rp 10.900"
"1732154411-62","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 11.500"
"1732154411-63","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.900"
"1732154411-64","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1732154411-65","https://www.klikindomaret.com/category/sarapan","Kellogg's Granola Dark Chocolate 40G","","Rp 13.200"
"1732154411-66","https://www.klikindomaret.com/category/sarapan","Kellogg's Granola Mixed Berries 40G","","Rp 13.200"
"1732154411-67","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 5.500"
"1732154411-68","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 7.000"
"1732154411-69","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1732154411-70","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.700"
"1732154411-71","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 26.600"
"1732154411-72","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 29.100"
"1732154411-73","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","","Rp 25.000"
"1732154411-74","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 25.000"
"1732154411-75","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 21.000"
"1732154411-76","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1732154411-77","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1732154411-78","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1732154411-79","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 12.000"
"1732154411-80","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 8.000"
"1732154411-81","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1732154411-82","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1732154411-83","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1732154411-84","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","","Rp 9.100"
"1732154411-85","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.100"
"1732154411-86","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1732154411-87","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1732154411-88","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 23.300"
"1732154411-89","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Trix 30G","","Rp 9.900"
"1732154411-90","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 3.900"
"1732154411-91","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","","Rp 44.000"
"1732154411-92","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.000"
"1732154411-93","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 4.000"
"1732154411-94","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 4.000"
"1732154411-95","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 4.500"
"1732154411-96","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 4.500"
"1732154411-97","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 3.500"
"1732154411-98","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 3.500"
"1732154411-99","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 3.500"
"1732154411-100","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 3.500"
"1732154411-101","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 3.500"
"1732154411-102","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","","Rp 31.300"
"1732154411-103","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","","Rp 13.900"
"1732154411-104","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","","Rp 27.200"
"1732154411-105","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","","Rp 27.200"
"1732154411-106","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 14.000"
"1732154411-107","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 16.500"
"1732154411-108","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 16.500"
"1732154411-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1732154411-110","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1732154411-111","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Bun 55g","","Rp 5.000"
"1732154411-112","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Cheese Bun 55G","","Rp 5.000"
"1732154411-113","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1732154411-114","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1732154411-115","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1732154411-116","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1732154411-117","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1732154411-118","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1732154411-119","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1732154411-120","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1732154411-121","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1732154411-122","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","","Rp 13.000"
"1732154411-123","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1732154411-124","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1732154411-125","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Cheese 72G","","Rp 5.000"
"1732154411-126","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Choco","","Rp 5.000"
"1732154411-127","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Mocha","","Rp 5.000"
"1732154411-128","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1732154411-129","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1732154411-130","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1732154411-131","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 34G","","Rp 7.900"
"1732154411-132","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 34G","","Rp 7.900"
"1732154411-133","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 80G","","Rp 9.300"
"1732154411-134","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 330G","","Rp 39.000"
"1732154411-135","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 34G","","Rp 7.900"
"1732154411-136","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 28.500"
"1732154411-137","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 28.500"
"1732154411-138","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","","Rp 26.500"
"1732154411-139","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Manuka 250g","","Rp 117.100"
"1732154411-140","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 26.500"
"1732154411-141","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","","Rp 70.500"
"1732154411-142","https://www.klikindomaret.com/category/sarapan","Captain Oats Instant Oatmeal 12x40g","","Rp 33.700"
"1732154411-143","https://www.klikindomaret.com/category/sarapan","East Bali Granola Tropical Fruits 125g","","Rp 27.400"
"1732154411-144","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Vanilla 20X32g","","Rp 45.500"
"1732154411-145","https://www.klikindomaret.com/category/sarapan","Granolab Muesli Instant Oatmeal Fruit & Nut 65g","","Rp 10.900"
"1732154411-146","https://www.klikindomaret.com/category/sarapan","Granolab Muesli Instant Oatmeal Rich Chocolate 65g","","Rp 10.900"
"1732154411-147","https://www.klikindomaret.com/category/sarapan","Haverjoy INSTANT OATS  BOX 1000g","","Rp 31.800"
"1732154411-148","https://www.klikindomaret.com/category/sarapan","Lotus Spread Smooth 400G","","Rp 76.300"
"1732154411-149","https://www.klikindomaret.com/category/sarapan","Milo Cereal Breakfast + Calcium 300g","","Rp 47.500"
"1732154411-150","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Duo Koko Krunch 150g","","Rp 26.900"
"1732154411-151","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Duo Koko Krunch 300g","","Rp 50.200"
"1732154411-152","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Star 300g","","Rp 47.000"
"1732154411-153","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Trix 150G","","Rp 27.900"
"1732154411-154","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Hazelnut With Cocoa 350G","","Rp 72.000"
"1732154411-155","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Hazelnut With Cocoa 680G","","Rp 130.900"
"1732154411-156","https://www.klikindomaret.com/category/sarapan","Oatsy Havermout Instant Oatmeal 750g","","Rp 32.300"
"1732154411-157","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 680g","","Rp 160.000"
"1732154411-158","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips 950G","","Rp 45.500"
"1732154411-159","https://www.klikindomaret.com/category/sarapan","St.Dalfour Selai Strawberry 170G","","Rp 42.500"
